date,datatype,station,value,temp_f,year,month,day
1998-04-01,TAVG,GHCND:USW00094728,60,6.0,1998,4,1
1998-04-02,TAVG,GHCND:USW00094728,58,5.8,1998,4,2
1998-04-03,TAVG,GHCND:USW00094728,54,5.4,1998,4,3
1998-04-04,TAVG,GHCND:USW00094728,43,4.3,1998,4,4
1998-04-05,TAVG,GHCND:USW00094728,44,4.4,1998,4,5
1998-04-06,TAVG,GHCND:USW00094728,50,5.0,1998,4,6
1998-04-07,TAVG,GHCND:USW00094728,55,5.5,1998,4,7
1998-04-08,TAVG,GHCND:USW00094728,55,5.5,1998,4,8
1998-04-09,TAVG,GHCND:USW00094728,44,4.4,1998,4,9
1998-04-10,TAVG,GHCND:USW00094728,47,4.7,1998,4,10
1998-04-11,TAVG,GHCND:USW00094728,52,5.2,1998,4,11
1998-04-12,TAVG,GHCND:USW00094728,53,5.3,1998,4,12
1998-04-13,TAVG,GHCND:USW00094728,58,5.8,1998,4,13
1998-04-14,TAVG,GHCND:USW00094728,57,5.7,1998,4,14
1998-04-15,TAVG,GHCND:USW00094728,55,5.5,1998,4,15
1998-04-16,TAVG,GHCND:USW00094728,54,5.4,1998,4,16
1998-04-17,TAVG,GHCND:USW00094728,63,6.3,1998,4,17
1998-04-18,TAVG,GHCND:USW00094728,57,5.7,1998,4,18
1998-04-19,TAVG,GHCND:USW00094728,53,5.3,1998,4,19
1998-04-20,TAVG,GHCND:USW00094728,53,5.3,1998,4,20
1998-04-21,TAVG,GHCND:USW00094728,59,5.9,1998,4,21
1998-04-22,TAVG,GHCND:USW00094728,60,6.0,1998,4,22
1998-04-23,TAVG,GHCND:USW00094728,50,5.0,1998,4,23
1998-04-24,TAVG,GHCND:USW00094728,60,6.0,1998,4,24
1998-04-25,TAVG,GHCND:USW00094728,60,6.0,1998,4,25
1998-04-26,TAVG,GHCND:USW00094728,48,4.8,1998,4,26
1998-04-27,TAVG,GHCND:USW00094728,49,4.9,1998,4,27
1998-04-28,TAVG,GHCND:USW00094728,52,5.2,1998,4,28
1998-04-29,TAVG,GHCND:USW00094728,60,6.0,1998,4,29
1998-04-30,TAVG,GHCND:USW00094728,65,6.5,1998,4,30
1998-05-01,TAVG,GHCND:USW00094728,61,6.1,1998,5,1
1998-05-02,TAVG,GHCND:USW00094728,63,6.3,1998,5,2
1998-05-03,TAVG,GHCND:USW00094728,60,6.0,1998,5,3
1998-05-04,TAVG,GHCND:USW00094728,59,5.9,1998,5,4
1998-05-05,TAVG,GHCND:USW00094728,59,5.9,1998,5,5
1998-05-06,TAVG,GHCND:USW00094728,61,6.1,1998,5,6
1998-05-07,TAVG,GHCND:USW00094728,62,6.2,1998,5,7
1998-05-08,TAVG,GHCND:USW00094728,56,5.6,1998,5,8
1998-05-09,TAVG,GHCND:USW00094728,57,5.7,1998,5,9
1998-05-10,TAVG,GHCND:USW00094728,56,5.6,1998,5,10
1998-05-11,TAVG,GHCND:USW00094728,54,5.4,1998,5,11
1998-05-12,TAVG,GHCND:USW00094728,57,5.7,1998,5,12
1998-05-13,TAVG,GHCND:USW00094728,54,5.4,1998,5,13
1998-05-14,TAVG,GHCND:USW00094728,59,5.9,1998,5,14
1998-05-15,TAVG,GHCND:USW00094728,69,6.9,1998,5,15
1998-05-16,TAVG,GHCND:USW00094728,74,7.4,1998,5,16
1998-05-17,TAVG,GHCND:USW00094728,63,6.3,1998,5,17
1998-05-18,TAVG,GHCND:USW00094728,70,7.0,1998,5,18
1998-05-19,TAVG,GHCND:USW00094728,74,7.4,1998,5,19
1998-05-20,TAVG,GHCND:USW00094728,69,6.9,1998,5,20
1998-05-21,TAVG,GHCND:USW00094728,70,7.0,1998,5,21
1998-05-22,TAVG,GHCND:USW00094728,62,6.2,1998,5,22
1998-05-23,TAVG,GHCND:USW00094728,64,6.4,1998,5,23
1998-05-24,TAVG,GHCND:USW00094728,69,6.9,1998,5,24
1998-05-25,TAVG,GHCND:USW00094728,64,6.4,1998,5,25
1998-05-26,TAVG,GHCND:USW00094728,69,6.9,1998,5,26
1998-05-27,TAVG,GHCND:USW00094728,70,7.0,1998,5,27
1998-05-28,TAVG,GHCND:USW00094728,75,7.5,1998,5,28
1998-05-29,TAVG,GHCND:USW00094728,75,7.5,1998,5,29
1998-05-30,TAVG,GHCND:USW00094728,76,7.6,1998,5,30
1998-06-01,TAVG,GHCND:USW00094728,66,6.6,1998,6,1
1998-06-02,TAVG,GHCND:USW00094728,63,6.3,1998,6,2
1998-06-03,TAVG,GHCND:USW00094728,62,6.2,1998,6,3
1998-06-04,TAVG,GHCND:USW00094728,61,6.1,1998,6,4
1998-06-05,TAVG,GHCND:USW00094728,62,6.2,1998,6,5
1998-06-06,TAVG,GHCND:USW00094728,63,6.3,1998,6,6
1998-06-07,TAVG,GHCND:USW00094728,61,6.1,1998,6,7
1998-06-08,TAVG,GHCND:USW00094728,59,5.9,1998,6,8
1998-06-09,TAVG,GHCND:USW00094728,63,6.3,1998,6,9
1998-06-10,TAVG,GHCND:USW00094728,64,6.4,1998,6,10
1998-06-11,TAVG,GHCND:USW00094728,66,6.6,1998,6,11
1998-06-12,TAVG,GHCND:USW00094728,63,6.3,1998,6,12
1998-06-13,TAVG,GHCND:USW00094728,67,6.7,1998,6,13
1998-06-14,TAVG,GHCND:USW00094728,66,6.6,1998,6,14
1998-06-15,TAVG,GHCND:USW00094728,68,6.8,1998,6,15
1998-06-16,TAVG,GHCND:USW00094728,75,7.5,1998,6,16
1998-06-17,TAVG,GHCND:USW00094728,73,7.3,1998,6,17
1998-06-18,TAVG,GHCND:USW00094728,74,7.4,1998,6,18
1998-06-19,TAVG,GHCND:USW00094728,76,7.6,1998,6,19
1998-06-20,TAVG,GHCND:USW00094728,79,7.9,1998,6,20
1998-06-21,TAVG,GHCND:USW00094728,76,7.6,1998,6,21
1998-06-22,TAVG,GHCND:USW00094728,70,7.0,1998,6,22
1998-06-23,TAVG,GHCND:USW00094728,71,7.1,1998,6,23
